Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,BbAvH,BbAvD,BbAvA,HValue,AValue,HAcc,AAcc,HConv,AConv,HCurrentPoints,ACurrentPoints,FTHG_5Avg,FTAG_5Avg,HS_5Avg,AS_5Avg,HST_5Avg,AST_5Avg,HAcc_5Avg,AAcc_5Avg,HConv_5Avg,AConv_5Avg,HRating,ARating,Value_Diff,CurrentPoints_Diff,Rating_Diff,FTG_5Avg_Diff,S_5Avg_Diff,ST_5Avg_Diff,Acc_5Avg_Diff,Conv_5Avg_Diff
2016-2017,2016-12-14,West Brom,Swansea,3,1,H,13,8,4,4,2.04,3.42,3.87,0.0,0.0,0.30769207100609924,0.4999993750007813,0.23076905325457442,0.12499984375019532,20,12,2.0,2.0,11.0,8.8,3.4,3.6,0.2901512474319755,0.32476150263102543,0.15909077866746507,0.1717458347143254,-0.35033764700000003,-0.25106343600000003,0.0,8,-0.099274211,0.0,2.1999999999999993,-0.20000000000000018,-0.03461025519904992,-0.012655056046860319
2016-2017,2016-12-14,West Ham,Burnley,1,0,H,20,8,7,2,1.64,3.97,5.52,0.3635352973874375,0.03851898085196496,0.3499998250000875,0.24999968750039064,0.0499999750000125,0.0,13,17,1.4,1.4,8.6,11.8,2.6,5.0,0.3113704588417879,0.42464243021099357,0.16906183412491788,0.10035706880745447,0.35134756100000003,0.0,0.3250163165354725,-4,0.35134756100000003,0.0,-3.200000000000001,-2.4,-0.11327197136920569,0.0687047653174634
2016-2017,2016-12-14,Crystal Palace,Man United,1,2,A,6,16,3,6,5.19,3.94,1.68,0.20558746628785543,1.0,0.4999991666680556,0.3749997656251465,0.16666638888935187,0.12499992187504883,15,24,2.6,1.4,12.0,12.6,4.2,4.6,0.34821398172387125,0.35078403039944783,0.22341249785465353,0.1284312487768764,-0.30005833600000004,0.349578226,-0.7944125337121446,-9,-0.649636562,1.2000000000000002,-0.5999999999999996,-0.39999999999999947,-0.002570048675576586,0.09498124907777714
2016-2017,2016-12-14,Man City,Watford,2,0,H,13,5,7,2,1.26,6.26,11.65,0.8791097935066807,0.159893894474042,0.5384611242606736,0.39999920000160005,0.15384603550304962,0.0,30,21,1.6,1.4,17.8,12.0,5.0,4.8,0.29715268394885175,0.40973226125629036,0.10238589135763061,0.12449186557361216,0.7505748720000001,-0.250205061,0.7192158990326387,9,1.000779933,0.20000000000000018,5.800000000000001,0.20000000000000018,-0.11257957730743862,-0.022105974215981553
2016-2017,2016-12-17,West Ham,Hull,1,0,H,18,16,6,5,1.65,3.93,5.61,0.3635352973874375,0.0,0.33333314814825105,0.31249980468762206,0.055555524691375174,0.0,16,12,1.4,0.8,10.8,11.6,3.6,4.8,0.3369260287800221,0.40901921495621546,0.15683963159402875,0.05999995333337112,0.35134756100000003,0.0,0.3635352973874375,4,0.35134756100000003,0.5999999999999999,-0.7999999999999989,-1.1999999999999997,-0.07209318617619337,0.09683967826065763
2016-2017,2016-12-17,West Brom,Man United,0,2,A,10,10,1,5,5.38,3.68,1.72,0.0,1.0,0.0999999000001,0.49999950000050003,0.0,0.1999998000002,23,27,2.2,1.2,11.4,14.0,3.2,5.2,0.26078065336865747,0.3591173909318023,0.1688809860125648,0.08676464055921128,-0.35033764700000003,0.349578226,-1.0,-4,-0.699915873,1.0000000000000002,-2.5999999999999996,-2.0,-0.09833673756314482,0.08211634545335351
2016-2017,2016-12-17,Stoke,Leicester,2,2,D,16,14,7,8,2.55,3.3,2.89,0.0,0.3324268295401351,0.4374997265626709,0.5714281632655976,0.12499992187504883,0.1428570408163994,20,16,0.8,1.6,11.0,12.0,3.8,4.0,0.38333287246098635,0.3400353508797491,0.0709523168594693,0.14812820226785697,-0.35084001,0.799983307,-0.3324268295401351,4,-1.150823317,-0.8,-1.0,-0.20000000000000018,0.04329752158123723,-0.07717588540838767
2016-2017,2016-12-17,Middlesbrough,Swansea,3,0,H,10,14,4,2,2.07,3.36,3.83,0.0,0.0,0.3999996000004,0.1428570408163994,0.2999997000003,0.0,15,12,0.6,2.0,9.6,9.2,2.4,4.2,0.27499963888940754,0.3914280998533113,0.07916654774324564,0.16341252568649406,0.0,-0.25106343600000003,0.0,3,0.25106343600000003,-1.4,0.40000000000000036,-1.8000000000000003,-0.11642846096390375,-0.08424597794324842
2016-2017,2016-12-17,Sunderland,Watford,1,0,H,12,9,4,4,2.6,3.21,2.9,0.0,0.16089699293372864,0.33333305555578707,0.44444395061783265,0.08333326388894677,0.0,11,21,1.0,1.2,11.6,10.8,3.2,3.6,0.2719694236975105,0.3442776880333496,0.07272721487608189,0.10631006392070455,-0.350344046,-0.250205061,-0.16089699293372864,-10,-0.10013898500000001,-0.19999999999999996,0.7999999999999989,-0.3999999999999999,-0.07230826433583915,-0.033582849044622665
2016-2017,2016-12-17,Crystal Palace,Chelsea,0,1,A,6,13,2,6,5.82,4.09,1.6,0.20558746628785543,0.9479280444038252,0.33333277777870374,0.46153810650914884,0.0,0.07692301775152481,15,40,2.4,1.6,10.0,12.6,3.8,4.0,0.385713854119958,0.33375588535689416,0.23174579125751413,0.14702190163924797,-0.30005833600000004,0.152728823,-0.7423405781159698,-25,-0.45278715900000005,0.7999999999999998,-2.5999999999999996,-0.20000000000000018,0.051957968763063855,0.08472388961826616
